repository_owner,repository_name,file_url,candidate_instruction_count,final_not_to_do_count,final_not_to_do_pct_of_file,has_final_not_to_do,first_sentence_index,last_sentence_index
rocketship-ai,rocketship,https://github.com/rocketship-ai/rocketship/blob/main/AGENTS.md,137,3,2.189781,1,1,122
RSSNext,Folo,https://github.com/RSSNext/Folo/blob/main/AGENTS.md,89,9,10.112360,1,1,85
rustfs,rustfs,https://github.com/rustfs/rustfs/blob/main/AGENTS.md,75,14,18.666667,1,2,47
seasonedcc,remix-forms,https://github.com/seasonedcc/remix-forms/blob/main/AGENTS.md,74,7,9.459459,1,1,45
shinnku-nikaidou,shinnku-com,https://github.com/shinnku-nikaidou/shinnku-com/blob/main/AGENTS.md,14,1,7.142857,1,1,8
shopware,shopware,https://github.com/shopware/shopware/blob/master/AGENTS.md,31,4,12.903226,1,1,13
SimonHalvdansson,Harmonic-HN,https://github.com/SimonHalvdansson/Harmonic-HN/blob/main/AGENTS.md,19,2,10.526316,1,1,11
simonw,simonwillisonblog,https://github.com/simonw/simonwillisonblog/blob/main/AGENTS.md,5,0,0.000000,0,1,5
stack-auth,stack-auth,https://github.com/stack-auth/stack-auth/blob/main/AGENTS.md,138,21,15.217391,1,1,104
stevehansen,csv,https://github.com/stevehansen/csv/blob/master/AGENTS.md,8,0,0.000000,0,1,8
sunbeam-labs,sunbeam,https://github.com/sunbeam-labs/sunbeam/blob/main/AGENTS.md,13,0,0.000000,0,1,13
swarmauri,swarmauri-sdk,https://github.com/swarmauri/swarmauri-sdk/blob/main/AGENTS.md,30,2,6.666667,1,1,19
swuecho,chat,https://github.com/swuecho/chat/blob/master/AGENTS.md,102,0,0.000000,0,1,80
theopenco,llmgateway,https://github.com/theopenco/llmgateway/blob/main/AGENTS.md,156,21,13.461538,1,1,16
theosanderson,taxonium,https://github.com/theosanderson/taxonium/blob/master/AGENTS.md,2,1,50.000000,1,1,2
useautumn,autumn,https://github.com/useautumn/autumn/blob/main/AGENTS.md,79,12,15.189873,1,1,13
valkey-io,valkey-glide,https://github.com/valkey-io/valkey-glide/blob/main/AGENTS.md,75,4,5.333333,1,1,58
vinceglb,FileKit,https://github.com/vinceglb/FileKit/blob/main/AGENTS.md,22,0,0.000000,0,1,11
wandb,weave,https://github.com/wandb/weave/blob/master/AGENTS.md,133,8,6.015038,1,1,62
web-infra-dev,rspack,https://github.com/web-infra-dev/rspack/blob/main/AGENTS.md,91,4,4.395604,1,2,69
webgptorg,promptbook,https://github.com/webgptorg/promptbook/blob/main/AGENTS.md,111,14,12.612613,1,1,71
wieslawsoltes,Dock,https://github.com/wieslawsoltes/Dock/blob/master/AGENTS.md,87,18,20.689655,1,1,7
wieslawsoltes,Xaml.Behaviors,https://github.com/wieslawsoltes/Xaml.Behaviors/blob/master/AGENTS.md,87,19,21.839080,1,1,7
ydb-platform,ydb,https://github.com/ydb-platform/ydb/blob/main/AGENTS.md,5,2,40.000000,1,1,3
yoshiko-pg,difit,https://github.com/yoshiko-pg/difit/blob/main/AGENTS.md,22,3,13.636364,1,1,3
Zaki-1052,GPTPortal,https://github.com/Zaki-1052/GPTPortal/blob/main/AGENTS.md,25,2,8.000000,1,1,24
zenml-io,zenml,https://github.com/zenml-io/zenml/blob/main/AGENTS.md,275,25,9.090909,1,1,112
Agoric,agoric-sdk,https://github.com/Agoric/agoric-sdk/blob/master/.github/copilot-instructions.md,21,6,28.571429,1,1,21
Aiko-IT-Systems,DisCatSharp,https://github.com/Aiko-IT-Systems/DisCatSharp/blob/main/.github/copilot-instructions.md,66,2,3.030303,1,1,34
alandtse,alexa_media_player,https://github.com/alandtse/alexa_media_player/blob/master/.github/copilot-instructions.md,90,8,8.888889,1,2,79
ast-grep,ast-grep,https://github.com/ast-grep/ast-grep/blob/main/.github/copilot-instructions.md,72,9,12.500000,1,1,48
AstrBotDevs,AstrBot,https://github.com/AstrBotDevs/AstrBot/blob/master/.github/copilot-instructions.md,43,5,11.627907,1,1,3
aztfmod,terraform-provider-azurecaf,https://github.com/aztfmod/terraform-provider-azurecaf/blob/main/.github/copilot-instructions.md,63,0,0.000000,0,1,40
Azure,AgentBaker,https://github.com/Azure/AgentBaker/blob/main/.github/copilot-instructions.md,208,14,6.730769,1,1,191
Azure,autorest.typescript,https://github.com/Azure/autorest.typescript/blob/main/.github/copilot-instructions.md,256,24,9.375000,1,2,256
Azure,azure-functions-host,https://github.com/Azure/azure-functions-host/blob/master/.github/copilot-instructions.md,30,11,36.666667,1,2,22
Azure,azure-mcp,https://github.com/Azure/azure-mcp/blob/main/.github/copilot-instructions.md,16,1,6.250000,1,1,10
Azure,azure-rest-api-specs,https://github.com/Azure/azure-rest-api-specs/blob/main/.github/copilot-instructions.md,47,3,6.382979,1,1,24
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net/blob/main/.github/copilot-instructions.md,26,1,3.846154,1,1,17
Azure,azure-sdk-tools,https://github.com/Azure/azure-sdk-tools/blob/main/.github/copilot-instructions.md,79,3,3.797468,1,1,34
Azure,fleet,https://github.com/Azure/fleet/blob/main/.github/copilot-instructions.md,44,3,6.818182,1,1,4
Azure-Samples,eShopLite,https://github.com/Azure-Samples/eShopLite/blob/main/.github/copilot-instructions.md,47,0,0.000000,0,1,47
AzureAD,microsoft-identity-web,https://github.com/AzureAD/microsoft-identity-web/blob/master/.github/copilot-instructions.md,2,0,0.000000,0,1,2
backstage,backstage,https://github.com/backstage/backstage/blob/master/.github/copilot-instructions.md,7,0,0.000000,0,1,7
bbc,simorgh,https://github.com/bbc/simorgh/blob/master/.github/copilot-instructions.md,17,5,29.411765,1,1,12
benwbrum,fromthepage,https://github.com/benwbrum/fromthepage/blob/main/.github/copilot-instructions.md,43,1,2.325581,1,1,37
brenocq,implot3d,https://github.com/brenocq/implot3d/blob/main/.github/copilot-instructions.md,23,0,0.000000,0,1,23
BrighterCommand,Brighter,https://github.com/BrighterCommand/Brighter/blob/master/.github/copilot-instructions.md,13,1,7.692308,1,1,4
Chainlit,chainlit,https://github.com/Chainlit/chainlit/blob/main/.github/copilot-instructions.md,50,3,6.000000,1,1,3
christianhelle,apiclientcodegen,https://github.com/christianhelle/apiclientcodegen/blob/master/.github/copilot-instructions.md,135,8,5.925926,1,2,122
collinbarrett,FilterLists,https://github.com/collinbarrett/FilterLists/blob/main/.github/copilot-instructions.md,144,2,1.388889,1,2,99
Cysharp,MagicOnion,https://github.com/Cysharp/MagicOnion/blob/main/.github/copilot-instructions.md,31,1,3.225806,1,1,29
danielroe,roe.dev,https://github.com/danielroe/roe.dev/blob/main/.github/copilot-instructions.md,10,0,0.000000,0,1,4
debs-obrien,debbie.codes,https://github.com/debs-obrien/debbie.codes/blob/main/.github/copilot-instructions.md,34,0,0.000000,0,1,34
DestinyItemManager,DIM,https://github.com/DestinyItemManager/DIM/blob/master/.github/copilot-instructions.md,21,3,14.285714,1,1,20
dotnet,aspnetcore,https://github.com/dotnet/aspnetcore/blob/main/.github/copilot-instructions.md,29,7,24.137931,1,2,1
dotnet,core,https://github.com/dotnet/core/blob/main/.github/copilot-instructions.md,79,4,5.063291,1,5,45
dotnet,docs-aspire,https://github.com/dotnet/docs-aspire/blob/main/.github/copilot-instructions.md,37,8,21.621622,1,1,30
dotnet,docs-desktop,https://github.com/dotnet/docs-desktop/blob/main/.github/copilot-instructions.md,52,4,7.692308,1,1,4
dotnet,dotnet-api-docs,https://github.com/dotnet/dotnet-api-docs/blob/main/.github/copilot-instructions.md,48,7,14.583333,1,2,1
dotnet,fsharp,https://github.com/dotnet/fsharp/blob/main/.github/copilot-instructions.md,28,1,3.571429,1,1,16
dotnet,java-interop,https://github.com/dotnet/java-interop/blob/main/.github/copilot-instructions.md,75,4,5.333333,1,1,38
dotnet,macios,https://github.com/dotnet/macios/blob/main/.github/copilot-instructions.md,99,4,4.040404,1,1,66
dotnet,maui,https://github.com/dotnet/maui/blob/main/.github/copilot-instructions.md,231,20,8.658009,1,1,47
dotnet,runtime,https://github.com/dotnet/runtime/blob/main/.github/copilot-instructions.md,140,19,13.571429,1,1,122
dotnet,sdk,https://github.com/dotnet/sdk/blob/main/.github/copilot-instructions.md,41,7,17.073171,1,1,16
DumbWareio,DumbAssets,https://github.com/DumbWareio/DumbAssets/blob/main/.github/copilot-instructions.md,227,5,2.202643,1,1,82
dvcrn,mcp-server-siri-shortcuts,https://github.com/dvcrn/mcp-server-siri-shortcuts/blob/main/.github/copilot-instructions.md,3,0,0.000000,0,1,3
dynamoose,dynamoose,https://github.com/dynamoose/dynamoose/blob/main/.github/copilot-instructions.md,27,0,0.000000,0,1,24
Epix-Incorporated,Adonis,https://github.com/Epix-Incorporated/Adonis/blob/master/.github/copilot-instructions.md,2,1,50.000000,1,1,2
esphome,esphome,https://github.com/esphome/esphome/blob/main/.github/copilot-instructions.md,280,15,5.357143,1,1,171
FidelusAleksander,ghcertified,https://github.com/FidelusAleksander/ghcertified/blob/master/.github/copilot-instructions.md,49,4,8.163265,1,1,39
friendsofhyperf,components,https://github.com/friendsofhyperf/components/blob/main/.github/copilot-instructions.md,202,8,3.960396,1,1,151
geneontology,go-ontology,https://github.com/geneontology/go-ontology/blob/master/.github/copilot-instructions.md,260,25,9.615385,1,1,152
github,awesome-copilot,https://github.com/github/awesome-copilot/blob/main/.github/copilot-instructions.md,49,0,0.000000,0,2,39
github,branch-deploy,https://github.com/github/branch-deploy/blob/main/.github/copilot-instructions.md,52,1,1.923077,1,1,19
github,gh-gei,https://github.com/github/gh-gei/blob/main/.github/copilot-instructions.md,21,1,4.761905,1,1,19
github,gh-models,https://github.com/github/gh-models/blob/main/.github/copilot-instructions.md,42,1,2.380952,1,1,37
glu-lang,glu,https://github.com/glu-lang/glu/blob/main/.github/copilot-instructions.md,29,2,6.896552,1,1,27
GMPrakhar,MAUI-Designer,https://github.com/GMPrakhar/MAUI-Designer/blob/main/.github/copilot-instructions.md,83,0,0.000000,0,1,3
HotCakeX,Harden-Windows-Security,https://github.com/HotCakeX/Harden-Windows-Security/blob/main/.github/copilot-instructions.md,17,6,35.294118,1,1,3
humanwhocodes,crosspost,https://github.com/humanwhocodes/crosspost/blob/main/.github/copilot-instructions.md,80,6,7.500000,1,1,65
igraph,igraph,https://github.com/igraph/igraph/blob/main/.github/copilot-instructions.md,96,7,7.291667,1,1,6
intellectronica,ruler,https://github.com/intellectronica/ruler/blob/main/.github/copilot-instructions.md,19,0,0.000000,0,1,19
irihitech,Ursa.Avalonia,https://github.com/irihitech/Ursa.Avalonia/blob/main/.github/copilot-instructions.md,97,5,5.154639,1,1,79
istio,istio,https://github.com/istio/istio/blob/master/.github/copilot-instructions.md,57,1,1.754386,1,1,14
james-gould,azure-keyvault-emulator,https://github.com/james-gould/azure-keyvault-emulator/blob/master/.github/copilot-instructions.md,63,6,9.523810,1,2,63
kanisterio,kanister,https://github.com/kanisterio/kanister/blob/master/.github/copilot-instructions.md,3,0,0.000000,0,1,2
Kevinrob,guzzle-cache-middleware,https://github.com/Kevinrob/guzzle-cache-middleware/blob/master/.github/copilot-instructions.md,93,0,0.000000,0,1,61
kubefleet-dev,kubefleet,https://github.com/kubefleet-dev/kubefleet/blob/main/.github/copilot-instructions.md,44,3,6.818182,1,1,4
microsoft,ApplicationInsights-JS,https://github.com/microsoft/ApplicationInsights-JS/blob/main/.github/copilot-instructions.md,218,31,14.220183,1,1,134
microsoft,azure-pipelines-agent,https://github.com/microsoft/azure-pipelines-agent/blob/master/.github/copilot-instructions.md,71,0,0.000000,0,1,14
microsoft,FluidFramework,https://github.com/microsoft/FluidFramework/blob/main/.github/copilot-instructions.md,15,3,20.000000,1,1,15
microsoft,GSL,https://github.com/microsoft/GSL/blob/main/.github/copilot-instructions.md,54,3,5.555556,1,1,3
microsoft,Olive,https://github.com/microsoft/Olive/blob/main/.github/copilot-instructions.md,75,4,5.333333,1,1,69
microsoft,PowerToys,https://github.com/microsoft/PowerToys/blob/main/.github/copilot-instructions.md,19,2,10.526316,1,1,8
microsoft,python-environment-tools,https://github.com/microsoft/python-environment-tools/blob/main/.github/copilot-instructions.md,62,3,4.838710,1,1,45
microsoft,react-native-windows,https://github.com/microsoft/react-native-windows/blob/main/.github/copilot-instructions.md,90,4,4.444444,1,1,43
microsoft,react-native-windows-samples,https://github.com/microsoft/react-native-windows-samples/blob/main/.github/copilot-instructions.md,88,0,0.000000,0,1,88
microsoft,simplechat,https://github.com/microsoft/simplechat/blob/main/.github/copilot-instructions.md,71,8,11.267606,1,1,27
microsoft,TypeScript,https://github.com/microsoft/TypeScript/blob/main/.github/copilot-instructions.md,90,4,4.444444,1,1,7
microsoft,typespec,https://github.com/microsoft/typespec/blob/main/.github/copilot-instructions.md,88,10,11.363636,1,2,81
microsoft,vs-threading,https://github.com/microsoft/vs-threading/blob/main/.github/copilot-instructions.md,38,4,10.526316,1,1,26
microsoft,vscode-docs,https://github.com/microsoft/vscode-docs/blob/main/.github/copilot-instructions.md,1,0,0.000000,0,1,1
microsoft,vscode-jupyter,https://github.com/microsoft/vscode-jupyter/blob/main/.github/copilot-instructions.md,46,4,8.695652,1,1,46
mixpanel,mixpanel-android,https://github.com/mixpanel/mixpanel-android/blob/master/.github/copilot-instructions.md,25,5,20.000000,1,1,7
NG-ZORRO,ng-zorro-antd,https://github.com/NG-ZORRO/ng-zorro-antd/blob/master/.github/copilot-instructions.md,37,13,35.135135,1,1,14
nkdAgility,azure-devops-migration-tools,https://github.com/nkdAgility/azure-devops-migration-tools/blob/main/.github/copilot-instructions.md,228,2,0.877193,1,1,228
NuGet,NuGetGallery,https://github.com/NuGet/NuGetGallery/blob/main/.github/copilot-instructions.md,75,8,10.666667,1,1,33
obophenotype,uberon,https://github.com/obophenotype/uberon/blob/master/.github/copilot-instructions.md,85,7,8.235294,1,1,58
octgn,OCTGN,https://github.com/octgn/OCTGN/blob/master/.github/copilot-instructions.md,105,6,5.714286,1,1,6
OfficeDev,Microsoft-Teams-Samples,https://github.com/OfficeDev/Microsoft-Teams-Samples/blob/main/.github/copilot-instructions.md,33,0,0.000000,0,1,13
Open-LLM-VTuber,Open-LLM-VTuber,https://github.com/Open-LLM-VTuber/Open-LLM-VTuber/blob/main/.github/copilot-instructions.md,69,8,11.594203,1,1,36
opsmill,infrahub,https://github.com/opsmill/infrahub/blob/master/.github/copilot-instructions.md,20,0,0.000000,0,1,4
owid,owid-grapher,https://github.com/owid/owid-grapher/blob/master/.github/copilot-instructions.md,63,4,6.349206,1,1,11
owncast,owncast,https://github.com/owncast/owncast/blob/master/.github/copilot-instructions.md,73,9,12.328767,1,1,61
primer,react,https://github.com/primer/react/blob/main/.github/copilot-instructions.md,93,3,3.225806,1,2,58
projectcalico,calico,https://github.com/projectcalico/calico/blob/master/.github/copilot-instructions.md,99,1,1.010101,1,1,93
pulumi,docs,https://github.com/pulumi/docs/blob/master/.github/copilot-instructions.md,3,0,0.000000,0,1,3
raycast,extensions,https://github.com/raycast/extensions/blob/main/.github/copilot-instructions.md,86,13,15.116279,1,1,31
saleor,apps,https://github.com/saleor/apps/blob/main/.github/copilot-instructions.md,27,1,3.703704,1,1,21
sarchlab,akita,https://github.com/sarchlab/akita/blob/main/.github/copilot-instructions.md,86,8,9.302326,1,1,64
ShaunLawrie,PwshSpectreConsole,https://github.com/ShaunLawrie/PwshSpectreConsole/blob/main/.github/copilot-instructions.md,36,5,13.888889,1,1,2
Significant-Gravitas,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT/blob/master/.github/copilot-instructions.md,166,5,3.012048,1,1,111
Skyscanner,backpack-ios,https://github.com/Skyscanner/backpack-ios/blob/main/.github/copilot-instructions.md,289,5,1.730104,1,1,71
SparkDevNetwork,Rock,https://github.com/SparkDevNetwork/Rock/blob/master/.github/copilot-instructions.md,221,24,10.859729,1,1,183
sybrew,the-seo-framework,https://github.com/sybrew/the-seo-framework/blob/master/.github/copilot-instructions.md,144,34,23.611111,1,1,140
syntaxfm,website,https://github.com/syntaxfm/website/blob/main/.github/copilot-instructions.md,98,5,5.102041,1,1,31
timmo001,system-bridge,https://github.com/timmo001/system-bridge/blob/master/.github/copilot-instructions.md,17,1,5.882353,1,1,7
triggerdotdev,trigger.dev,https://github.com/triggerdotdev/trigger.dev/blob/main/.github/copilot-instructions.md,12,3,25.000000,1,1,12
vczh-libraries,GacUI,https://github.com/vczh-libraries/GacUI/blob/master/.github/copilot-instructions.md,100,9,9.000000,1,1,33
wangkanai,wangkanai,https://github.com/wangkanai/wangkanai/blob/main/.github/copilot-instructions.md,2,0,0.000000,0,1,2
wled,WLED,https://github.com/wled/WLED/blob/main/.github/copilot-instructions.md,90,8,8.888889,1,1,53
wvlet,airframe,https://github.com/wvlet/airframe/blob/main/.github/copilot-instructions.md,54,4,7.407407,1,1,35
zeroc-ice,ice-demos,https://github.com/zeroc-ice/ice-demos/blob/main/.github/copilot-instructions.md,13,0,0.000000,0,1,13
zfit,zfit,https://github.com/zfit/zfit/blob/main/.github/copilot-instructions.md,2,0,0.000000,0,1,2
zwave-js,zwave-js,https://github.com/zwave-js/zwave-js/blob/master/.github/copilot-instructions.md,56,9,16.071429,1,1,39
zwave-js,zwave-js-ui,https://github.com/zwave-js/zwave-js-ui/blob/master/.github/copilot-instructions.md,195,12,6.153846,1,2,132
rainbow-me,browser-extension,https://github.com/rainbow-me/browser-extension/blob/master/AGENTS.md,70,0,0.000000,0,1,70
